key,value,date
Brexit,0.001,05/06/16
Irish General Election,0.001,05/06/16
Lahore Blast,0.001,05/06/16
Brexit,0.001,05/07/16
Irish General Election,0.001,05/07/16
Lahore Blast,0.001,05/07/16
Brexit,0.001,05/08/16
Irish General Election,0.001,05/08/16
Lahore Blast,0.001,05/08/16
Brexit,0.001,05/09/16
Irish General Election,0.001,05/09/16
Lahore Blast,0.001,05/09/16
Brexit,0.001,05/10/16
Irish General Election,0.001,05/10/16
Lahore Blast,0.001,05/10/16
Brexit,0.001,05/11/16
Irish General Election,0.001,05/11/16
Lahore Blast,0.001,05/11/16
Brexit,0.001,05/12/16
Irish General Election,0.001,05/12/16
Lahore Blast,0.001,05/12/16
Brexit,0.001,05/13/16
Irish General Election,0.001,05/13/16
Lahore Blast,0.001,05/13/16
Brexit,0.001,05/14/16
Irish General Election,0.001,05/14/16
Lahore Blast,0.001,05/14/16
Brexit,0.001,05/15/16
Irish General Election,0.001,05/15/16
Lahore Blast,0.001,05/15/16
Brexit,0.001,05/16/16
Irish General Election,0.001,05/16/16
Lahore Blast,0.001,05/16/16
Brexit,0.001,05/17/16
Irish General Election,0.001,05/17/16
Lahore Blast,0.001,05/17/16
Brexit,0.001,05/18/16
Irish General Election,0.001,05/18/16
Lahore Blast,0.001,05/18/16
Brexit,0.001,05/19/16
Irish General Election,0.001,05/19/16
Lahore Blast,0.001,05/19/16
Brexit,0.001,05/20/16
Irish General Election,0.001,05/20/16
Lahore Blast,0.001,05/20/16
Brexit,0.001,05/21/16
Irish General Election,0.001,05/21/16
Lahore Blast,0.001,05/21/16
Brexit,0.001,05/22/16
Irish General Election,0.001,05/22/16
Lahore Blast,0.001,05/22/16
Brexit,0.001,05/23/16
Irish General Election,0.001,05/23/16
Lahore Blast,0.001,05/23/16
Brexit,0.001,05/24/16
Irish General Election,0.001,05/24/16
Lahore Blast,0.001,05/24/16
Brexit,0.001,05/25/16
Irish General Election,0.001,05/25/16
Lahore Blast,0.001,05/25/16
Brexit,0.001,05/26/16
Irish General Election,0.001,05/26/16
Lahore Blast,0.001,05/26/16
Brexit,0.001,05/27/16
Irish General Election,0.001,05/27/16
Lahore Blast,0.001,05/27/16
Brexit,0.001,05/28/16
Irish General Election,0.001,05/28/16
Lahore Blast,0.001,05/28/16
Brexit,0.001,05/29/16
Irish General Election,0.001,05/29/16
Lahore Blast,0.001,05/29/16
Brexit,0.001,05/30/16
Irish General Election,0.001,05/30/16
Lahore Blast,0.001,05/30/16
Brexit,0.001,05/31/16
Irish General Election,0.001,05/31/16
Lahore Blast,0.001,05/31/16
Brexit,0.001,06/01/16
Irish General Election,0.001,06/01/16
Lahore Blast,0.001,06/01/16
Brexit,0.001,06/02/16
Irish General Election,0.001,06/02/16
Lahore Blast,0.001,06/02/16
Brexit,0.001,06/03/16
Irish General Election,0.001,06/03/16
Lahore Blast,0.001,06/03/16
Brexit,0.001,06/04/16
Irish General Election,0.001,06/04/16
Lahore Blast,0.001,06/04/16
Brexit,0.001,06/05/16
Irish General Election,0.001,06/05/16
Lahore Blast,0.001,06/05/16
Brexit,0.001,06/06/16
Irish General Election,0.001,06/06/16
Lahore Blast,0.001,06/06/16
Brexit,0.001,06/07/16
Irish General Election,0.001,06/07/16
Lahore Blast,0.001,06/07/16
Brexit,0.001,06/08/16
Irish General Election,0.001,06/08/16
Lahore Blast,0.001,06/08/16
Brexit,0.001,06/09/16
Irish General Election,0.001,06/09/16
Lahore Blast,0.001,06/09/16
Brexit,0.001,06/10/16
Irish General Election,0.001,06/10/16
Lahore Blast,0.001,06/10/16
Brexit,0.001,06/11/16
Irish General Election,0.001,06/11/16
Lahore Blast,0.001,06/11/16
Brexit,0.001,06/12/16
Irish General Election,0.001,06/12/16
Lahore Blast,0.001,06/12/16
Brexit,0.001,06/13/16
Irish General Election,0.001,06/13/16
Lahore Blast,0.001,06/13/16
Brexit,0.001,06/14/16
Irish General Election,0.001,06/14/16
Lahore Blast,0.001,06/14/16
Brexit,0.001,06/15/16
Irish General Election,0.001,06/15/16
Lahore Blast,0.001,06/15/16
Brexit,0.001,06/16/16
Irish General Election,0.001,06/16/16
Lahore Blast,0.001,06/16/16
Brexit,0.001,06/17/16
Irish General Election,0.001,06/17/16
Lahore Blast,0.001,06/17/16
Brexit,0.001,06/18/16
Irish General Election,0.001,06/18/16
Lahore Blast,0.001,06/18/16
Brexit,0.001,06/19/16
Irish General Election,0.001,06/19/16
Lahore Blast,0.001,06/19/16
Brexit,0.001,06/20/16
Irish General Election,0.001,06/20/16
Lahore Blast,0.001,06/20/16
Brexit,0.953954383131,06/21/16
Irish General Election,0.001,06/21/16
Lahore Blast,0.001,06/21/16
Brexit,0.369643226314,06/22/16
Irish General Election,0.001,06/22/16
Lahore Blast,0.001,06/22/16
Brexit,0.55862732091,06/23/16
Irish General Election,0.001,06/23/16
Lahore Blast,0.001,06/23/16
Brexit,0.642446401847,06/24/16
Irish General Election,0.001,06/24/16
Lahore Blast,0.001,06/24/16
Brexit,0.842569388595,06/25/16
Irish General Election,0.001,06/25/16
Lahore Blast,0.001,06/25/16
Brexit,0.846694919188,06/26/16
Irish General Election,0.001,06/26/16
Lahore Blast,0.001,06/26/16
Brexit,0.691245143146,06/27/16
Irish General Election,0.001,06/27/16
Lahore Blast,0.001,06/27/16
Brexit,0.874142578567,06/28/16
Irish General Election,0.001,06/28/16
Lahore Blast,0.001,06/28/16
Brexit,0.87223755772,06/29/16
Irish General Election,0.001,06/29/16
Lahore Blast,0.001,06/29/16
Brexit,0.644588107229,06/30/16
Irish General Election,0.001,06/30/16
Lahore Blast,0.001,06/30/16
Brexit,0.719734144516,07/01/16
Irish General Election,0.001,07/01/16
Lahore Blast,0.001,07/01/16
Brexit,0.630178330734,07/02/16
Irish General Election,0.001,07/02/16
Lahore Blast,0.001,07/02/16
Brexit,0.871405040604,07/03/16
Irish General Election,0.001,07/03/16
Lahore Blast,0.001,07/03/16
Brexit,0.796496346994,07/04/16
Irish General Election,0.001,07/04/16
Lahore Blast,0.001,07/04/16
Brexit,0.229257698636,07/05/16
Irish General Election,0.001,07/05/16
Lahore Blast,0.001,07/05/16
Brexit,0.841719210522,07/06/16
Irish General Election,0.001,07/06/16
Lahore Blast,0.001,07/06/16
Brexit,0.692470640668,07/07/16
Irish General Election,0.001,07/07/16
Lahore Blast,0.001,07/07/16
Brexit,0.565907149803,07/08/16
Irish General Election,0.001,07/08/16
Lahore Blast,0.001,07/08/16
Brexit,0.677005491304,07/09/16
Irish General Election,0.001,07/09/16
Lahore Blast,0.001,07/09/16
Brexit,0.73399614428,07/10/16
Irish General Election,0.001,07/10/16
Lahore Blast,0.001,07/10/16
Brexit,0.377533591451,07/11/16
Irish General Election,0.001,07/11/16
Lahore Blast,0.001,07/11/16
Brexit,0.990375646839,07/12/16
Irish General Election,0.001,07/12/16
